Date,Description,Investment,Asset Code,Pot,Account,No. Shares,Share Price (£),Total Value (£)
07-Nov-22,Purchase,VERX,VERX,My Nutmeg Pot,ISA,1.0779,28.005,30.19
07-Nov-22,Purchase,CEUG,CEUG,My Nutmeg Pot,ISA,3.2887,5.271,17.33
07-Nov-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,8.8066,7.1609,63.06
07-Nov-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.9673,23.48,22.71
07-Nov-22,Purchase,XDUS,XDUS,My Nutmeg Pot,ISA,0.8946,93.36,83.52
07-Nov-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0567,366.65,20.79
07-Nov-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.1434,18.616,2.67
07-Nov-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.4196,28.865,12.11
07-Nov-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,9.8692,6.5154,64.3
07-Nov-22,Purchase,SRIW,SRIW,My Nutmeg Pot,ISA,3.7132,12.29,45.64
07-Nov-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.9266,12.28,11.38
07-Nov-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.6144,17.134,10.53
07-Nov-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0975,129.92,12.67
07-Nov-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,1.308,11.104,14.52
07-Nov-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.1568,28.89,4.53
07-Nov-22,Purchase,UC79,UC79,My Nutmeg Pot,ISA,1.2156,10.058,12.23
07-Nov-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0188,198.58,3.73
07-Nov-22,Purchase,UKSR,UKSR,My Nutmeg Pot,ISA,0.7717,14.544,11.22
02-Nov-22,Fee,CASH,N/A,My Nutmeg Pot,ISA,0,0,5.03
27-Oct-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0128,363.208,4.65
27-Oct-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0357,28.3777,1.01
27-Oct-22,Purchase,XDUS,XDUS,My Nutmeg Pot,ISA,0.199,93.6467,18.64
27-Oct-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0321,18.5764,0.6
27-Oct-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.0958,28.1106,2.69
27-Oct-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.3007,10.7978,3.25
27-Oct-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2301,22.0458,5.07
27-Oct-22,Purchase,SRIW,SRIW,My Nutmeg Pot,ISA,0.8374,12.1472,10.17
27-Oct-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,2.1756,6.5844,14.33
27-Oct-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,2.0393,6.9201,14.11
27-Oct-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1385,16.9152,2.34
27-Oct-22,Purchase,CEUG,CEUG,My Nutmeg Pot,ISA,0.7553,5.1129,3.86
27-Oct-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0228,123.9929,2.83
